"Stadtteil","Jahr","Gemeinschaftsschule %"
"Innenstadt-Ost","2012",1.5
"Innenstadt-Ost","2013",11.1
"Innenstadt-Ost","2014",0.0
"Innenstadt-Ost","2015",10.9
"Innenstadt-Ost","2016",12.7
"Innenstadt-Ost","2017",13.6
"Innenstadt-Ost","2018",18.8
"Innenstadt-Ost","2019",9.8
"Innenstadt-Ost","2020",10.2
"Innenstadt-Ost","2021",12.2
"Innenstadt-West","2012",0.0
"Innenstadt-West","2013",0.0
"Innenstadt-West","2014",6.8
"Innenstadt-West","2015",7.8
"Innenstadt-West","2016",0.0
"Innenstadt-West","2017",9.0
"Innenstadt-West","2018",12.6
"Innenstadt-West","2019",10.5
"Innenstadt-West","2020",8.6
"Innenstadt-West","2021",12.0
"Südstadt","2012",0.0
"Südstadt","2013",0.0
"Südstadt","2014",0.0
"Südstadt","2015",6.9
"Südstadt","2016",9.4
"Südstadt","2017",5.3
"Südstadt","2018",3.3
"Südstadt","2019",7.0
"Südstadt","2020",2.4
"Südstadt","2021",2.7
"Südweststadt","2012",1.0
"Südweststadt","2013",4.7
"Südweststadt","2014",4.5
"Südweststadt","2015",4.4
"Südweststadt","2016",6.1
"Südweststadt","2017",3.8
"Südweststadt","2018",3.5
"Südweststadt","2019",4.9
"Südweststadt","2020",6.2
"Südweststadt","2021",7.0
"Weststadt","2012",0.0
"Weststadt","2013",5.7
"Weststadt","2014",9.8
"Weststadt","2015",9.8
"Weststadt","2016",2.6
"Weststadt","2017",14.8
"Weststadt","2018",11.6
"Weststadt","2019",5.4
"Weststadt","2020",16.7
"Weststadt","2021",5.1
"Nordweststadt","2012",2.3
"Nordweststadt","2013",5.1
"Nordweststadt","2014",10.6
"Nordweststadt","2015",8.4
"Nordweststadt","2016",9.5
"Nordweststadt","2017",5.6
"Nordweststadt","2018",1.1
"Nordweststadt","2019",7.4
"Nordweststadt","2020",6.7
"Nordweststadt","2021",10.1
"Oststadt","2012",0.0
"Oststadt","2013",0.0
"Oststadt","2014",0.0
"Oststadt","2015",6.5
"Oststadt","2016",8.1
"Oststadt","2017",7.5
"Oststadt","2018",4.1
"Oststadt","2019",2.3
"Oststadt","2020",16.3
"Oststadt","2021",6.3
"Mühlburg","2012",1.9
"Mühlburg","2013",22.9
"Mühlburg","2014",25.4
"Mühlburg","2015",16.4
"Mühlburg","2016",16.8
"Mühlburg","2017",17.8
"Mühlburg","2018",14.2
"Mühlburg","2019",5.8
"Mühlburg","2020",21.6
"Mühlburg","2021",8.7
"Daxlanden","2012",1.3
"Daxlanden","2013",18.4
"Daxlanden","2014",15.0
"Daxlanden","2015",9.7
"Daxlanden","2016",15.5
"Daxlanden","2017",11.8
"Daxlanden","2018",7.8
"Daxlanden","2019",13.3
"Daxlanden","2020",18.8
"Daxlanden","2021",10.7
"Knielingen","2012",0.0
"Knielingen","2013",0.0
"Knielingen","2014",4.8
"Knielingen","2015",6.0
"Knielingen","2016",8.9
"Knielingen","2017",12.3
"Knielingen","2018",11.6
"Knielingen","2019",7.7
"Knielingen","2020",8.0
"Knielingen","2021",7.8
"Grünwinkel","2012",1.8
"Grünwinkel","2013",10.4
"Grünwinkel","2014",7.3
"Grünwinkel","2015",21.5
"Grünwinkel","2016",9.5
"Grünwinkel","2017",9.4
"Grünwinkel","2018",13.6
"Grünwinkel","2019",12.3
"Grünwinkel","2020",5.0
"Grünwinkel","2021",7.1
"Oberreut","2012",0.0
"Oberreut","2013",0.0
"Oberreut","2014",38.5
"Oberreut","2015",30.0
"Oberreut","2016",38.0
"Oberreut","2017",33.0
"Oberreut","2018",27.7
"Oberreut","2019",24.7
"Oberreut","2020",26.7
"Oberreut","2021",30.0
"Beiertheim-Bulach","2012",4.1
"Beiertheim-Bulach","2013",0.0
"Beiertheim-Bulach","2014",0.0
"Beiertheim-Bulach","2015",1.7
"Beiertheim-Bulach","2016",0.0
"Beiertheim-Bulach","2017",3.9
"Beiertheim-Bulach","2018",0.0
"Beiertheim-Bulach","2019",2.0
"Beiertheim-Bulach","2020",2.2
"Beiertheim-Bulach","2021",10.2
"Weiherfeld-Dammerstock","2012",2.7
"Weiherfeld-Dammerstock","2013",0.0
"Weiherfeld-Dammerstock","2014",0.0
"Weiherfeld-Dammerstock","2015",6.7
"Weiherfeld-Dammerstock","2016",7.4
"Weiherfeld-Dammerstock","2017",2.1
"Weiherfeld-Dammerstock","2018",0.0
"Weiherfeld-Dammerstock","2019",2.6
"Weiherfeld-Dammerstock","2020",0.0
"Weiherfeld-Dammerstock","2021",2.3
"Rüppurr","2012",0.0
"Rüppurr","2013",2.3
"Rüppurr","2014",1.4
"Rüppurr","2015",1.1
"Rüppurr","2016",2.4
"Rüppurr","2017",2.3
"Rüppurr","2018",2.2
"Rüppurr","2019",0.0
"Rüppurr","2020",0.0
"Rüppurr","2021",2.4
"Waldstadt","2012",1.2
"Waldstadt","2013",0.0
"Waldstadt","2014",2.8
"Waldstadt","2015",25.5
"Waldstadt","2016",32.0
"Waldstadt","2017",38.6
"Waldstadt","2018",32.6
"Waldstadt","2019",32.1
"Waldstadt","2020",29.7
"Waldstadt","2021",15.9
"Rintheim","2012",2.0
"Rintheim","2013",0.0
"Rintheim","2014",0.0
"Rintheim","2015",26.1
"Rintheim","2016",7.8
"Rintheim","2017",4.4
"Rintheim","2018",13.5
"Rintheim","2019",2.2
"Rintheim","2020",6.3
"Rintheim","2021",14.3
"Hagsfeld","2012",0.0
"Hagsfeld","2013",3.2
"Hagsfeld","2014",11.1
"Hagsfeld","2015",2.6
"Hagsfeld","2016",6.3
"Hagsfeld","2017",28.0
"Hagsfeld","2018",9.7
"Hagsfeld","2019",13.5
"Hagsfeld","2020",15.0
"Hagsfeld","2021",29.5
"Durlach","2012",5.9
"Durlach","2013",10.0
"Durlach","2014",5.2
"Durlach","2015",6.3
"Durlach","2016",4.2
"Durlach","2017",6.1
"Durlach","2018",2.8
"Durlach","2019",4.0
"Durlach","2020",2.0
"Durlach","2021",6.8
"Grötzingen","2012",22.7
"Grötzingen","2013",25.0
"Grötzingen","2014",29.5
"Grötzingen","2015",32.2
"Grötzingen","2016",16.1
"Grötzingen","2017",10.9
"Grötzingen","2018",12.9
"Grötzingen","2019",8.6
"Grötzingen","2020",12.5
"Grötzingen","2021",4.5
"Stupferich","2012",4.2
"Stupferich","2013",7.1
"Stupferich","2014",0.0
"Stupferich","2015",16.7
"Stupferich","2016",10.7
"Stupferich","2017",11.8
"Stupferich","2018",13.3
"Stupferich","2019",0.0
"Stupferich","2020",11.8
"Stupferich","2021",19.4
"Hohenwettersbach","2012",0.0
"Hohenwettersbach","2013",5.1
"Hohenwettersbach","2014",0.0
"Hohenwettersbach","2015",0.0
"Hohenwettersbach","2016",0.0
"Hohenwettersbach","2017",0.0
"Hohenwettersbach","2018",2.4
"Hohenwettersbach","2019",3.2
"Hohenwettersbach","2020",2.9
"Hohenwettersbach","2021",4.9
"Wolfartsweier","2012",2.6
"Wolfartsweier","2013",18.6
"Wolfartsweier","2014",0.0
"Wolfartsweier","2015",2.7
"Wolfartsweier","2016",12.5
"Wolfartsweier","2017",2.0
"Wolfartsweier","2018",3.3
"Wolfartsweier","2019",0.0
"Wolfartsweier","2020",2.4
"Wolfartsweier","2021",8.8
"Grünwettersbach","2012",14.3
"Grünwettersbach","2013",17.4
"Grünwettersbach","2014",3.8
"Grünwettersbach","2015",9.3
"Grünwettersbach","2016",7.1
"Grünwettersbach","2017",4.9
"Grünwettersbach","2018",6.7
"Grünwettersbach","2019",15.3
"Grünwettersbach","2020",11.8
"Grünwettersbach","2021",10.3
"Palmbach","2012",
"Palmbach","2013",
"Palmbach","2014",
"Palmbach","2015",
"Palmbach","2016",
"Palmbach","2017",
"Palmbach","2018",
"Palmbach","2019",
"Palmbach","2020",
"Palmbach","2021",
"Neureut","2012",0.0
"Neureut","2013",8.7
"Neureut","2014",15.5
"Neureut","2015",9.2
"Neureut","2016",9.2
"Neureut","2017",12.1
"Neureut","2018",12.8
"Neureut","2019",7.0
"Neureut","2020",4.4
"Neureut","2021",13.2
"Nordstadt","2012",0.9
"Nordstadt","2013",3.9
"Nordstadt","2014",7.6
"Nordstadt","2015",10.7
"Nordstadt","2016",3.7
"Nordstadt","2017",6.5
"Nordstadt","2018",6.5
"Nordstadt","2019",7.1
"Nordstadt","2020",2.2
"Nordstadt","2021",7.9
