"Stadtteil","Jahr","Gymnasium %"
"Innenstadt-Ost","2010",30.9
"Innenstadt-Ost","2011",27.5
"Innenstadt-Ost","2012",45.6
"Innenstadt-Ost","2013",44.4
"Innenstadt-Ost","2014",57.1
"Innenstadt-Ost","2015",30.4
"Innenstadt-Ost","2016",50.9
"Innenstadt-Ost","2017",47.7
"Innenstadt-Ost","2018",35.4
"Innenstadt-Ost","2019",51.0
"Innenstadt-Ost","2020",44.9
"Innenstadt-Ost","2021",56.1
"Innenstadt-West","2010",51.1
"Innenstadt-West","2011",52.4
"Innenstadt-West","2012",52.4
"Innenstadt-West","2013",63.6
"Innenstadt-West","2014",58.0
"Innenstadt-West","2015",56.9
"Innenstadt-West","2016",64.7
"Innenstadt-West","2017",55.2
"Innenstadt-West","2018",62.1
"Innenstadt-West","2019",63.2
"Innenstadt-West","2020",62.9
"Innenstadt-West","2021",60.0
"Südstadt","2010",30.1
"Südstadt","2011",39.7
"Südstadt","2012",42.6
"Südstadt","2013",51.8
"Südstadt","2014",56.9
"Südstadt","2015",55.2
"Südstadt","2016",62.3
"Südstadt","2017",64.5
"Südstadt","2018",50.8
"Südstadt","2019",70.4
"Südstadt","2020",54.1
"Südstadt","2021",68.5
"Südweststadt","2010",74.2
"Südweststadt","2011",75.4
"Südweststadt","2012",82.2
"Südweststadt","2013",77.6
"Südweststadt","2014",75.1
"Südweststadt","2015",74.3
"Südweststadt","2016",77.8
"Südweststadt","2017",79.8
"Südweststadt","2018",77.8
"Südweststadt","2019",79.2
"Südweststadt","2020",80.4
"Südweststadt","2021",81.7
"Weststadt","2010",45.5
"Weststadt","2011",44.8
"Weststadt","2012",41.2
"Weststadt","2013",71.4
"Weststadt","2014",70.7
"Weststadt","2015",61.0
"Weststadt","2016",66.7
"Weststadt","2017",51.9
"Weststadt","2018",65.1
"Weststadt","2019",73.0
"Weststadt","2020",61.9
"Weststadt","2021",79.5
"Nordweststadt","2010",57.0
"Nordweststadt","2011",55.1
"Nordweststadt","2012",55.2
"Nordweststadt","2013",65.3
"Nordweststadt","2014",58.7
"Nordweststadt","2015",58.9
"Nordweststadt","2016",53.7
"Nordweststadt","2017",58.4
"Nordweststadt","2018",56.8
"Nordweststadt","2019",66.7
"Nordweststadt","2020",60.6
"Nordweststadt","2021",59.6
"Oststadt","2010",47.9
"Oststadt","2011",51.3
"Oststadt","2012",58.6
"Oststadt","2013",58.1
"Oststadt","2014",60.0
"Oststadt","2015",54.5
"Oststadt","2016",54.7
"Oststadt","2017",61.2
"Oststadt","2018",52.7
"Oststadt","2019",55.7
"Oststadt","2020",45.0
"Oststadt","2021",54.4
"Mühlburg","2010",42.0
"Mühlburg","2011",50.0
"Mühlburg","2012",41.7
"Mühlburg","2013",56.9
"Mühlburg","2014",49.1
"Mühlburg","2015",51.8
"Mühlburg","2016",63.4
"Mühlburg","2017",50.0
"Mühlburg","2018",54.9
"Mühlburg","2019",44.2
"Mühlburg","2020",45.9
"Mühlburg","2021",45.2
"Daxlanden","2010",36.8
"Daxlanden","2011",28.6
"Daxlanden","2012",38.7
"Daxlanden","2013",35.6
"Daxlanden","2014",41.7
"Daxlanden","2015",48.4
"Daxlanden","2016",42.9
"Daxlanden","2017",36.8
"Daxlanden","2018",51.9
"Daxlanden","2019",34.9
"Daxlanden","2020",43.8
"Daxlanden","2021",53.6
"Knielingen","2010",38.6
"Knielingen","2011",50.0
"Knielingen","2012",50.0
"Knielingen","2013",52.2
"Knielingen","2014",57.1
"Knielingen","2015",54.0
"Knielingen","2016",59.5
"Knielingen","2017",60.0
"Knielingen","2018",68.1
"Knielingen","2019",56.9
"Knielingen","2020",60.0
"Knielingen","2021",53.2
"Grünwinkel","2010",56.7
"Grünwinkel","2011",45.6
"Grünwinkel","2012",42.1
"Grünwinkel","2013",53.7
"Grünwinkel","2014",63.6
"Grünwinkel","2015",36.9
"Grünwinkel","2016",50.0
"Grünwinkel","2017",48.4
"Grünwinkel","2018",55.9
"Grünwinkel","2019",60.3
"Grünwinkel","2020",56.7
"Grünwinkel","2021",52.9
"Oberreut","2010",39.6
"Oberreut","2011",31.3
"Oberreut","2012",42.9
"Oberreut","2013",42.4
"Oberreut","2014",32.3
"Oberreut","2015",42.5
