"Stadtteil","Jahr","Personen","Deutsche mit Migrationshintergrund","Ausländer/-innen"
"Innenstadt-Ost","2007",346,179,167
"Innenstadt-Ost","2008",362,200,162
"Innenstadt-Ost","2009",356,196,160
"Innenstadt-Ost","2010",361,205,156
"Innenstadt-Ost","2011",347,192,155
"Innenstadt-Ost","2012",350,187,163
"Innenstadt-Ost","2013",354,190,164
"Innenstadt-Ost","2014",355,193,162
"Innenstadt-Ost","2015",362,205,157
"Innenstadt-Ost","2016",350,213,137
"Innenstadt-Ost","2017",358,213,145
"Innenstadt-Ost","2018",340,199,141
"Innenstadt-Ost","2019",341,190,151
"Innenstadt-Ost","2020",334,188,146
"Innenstadt-Ost","2021",327,187,140
"Innenstadt-West","2007",366,183,183
"Innenstadt-West","2008",354,180,174
"Innenstadt-West","2009",354,196,158
"Innenstadt-West","2010",356,193,163
"Innenstadt-West","2011",358,204,154
"Innenstadt-West","2012",339,197,142
"Innenstadt-West","2013",346,190,156
"Innenstadt-West","2014",341,176,165
"Innenstadt-West","2015",359,182,177
"Innenstadt-West","2016",335,170,165
"Innenstadt-West","2017",341,162,179
"Innenstadt-West","2018",321,145,176
"Innenstadt-West","2019",324,139,185
"Innenstadt-West","2020",269,127,142
"Innenstadt-West","2021",283,138,145
"Südstadt","2007",1030,525,505
"Südstadt","2008",970,525,445
"Südstadt","2009",957,532,425
"Südstadt","2010",983,537,446
"Südstadt","2011",961,539,422
"Südstadt","2012",984,540,444
"Südstadt","2013",998,545,453
"Südstadt","2014",980,528,452
"Südstadt","2015",970,531,439
"Südstadt","2016",1009,517,492
"Südstadt","2017",1013,537,476
"Südstadt","2018",949,506,443
"Südstadt","2019",914,461,453
"Südstadt","2020",847,431,416
"Südstadt","2021",855,452,403
"Südweststadt","2007",822,533,289
"Südweststadt","2008",799,503,296
"Südweststadt","2009",775,487,288
"Südweststadt","2010",787,493,294
"Südweststadt","2011",780,487,293
"Südweststadt","2012",749,480,269
"Südweststadt","2013",762,489,273
"Südweststadt","2014",797,507,290
"Südweststadt","2015",766,492,274
"Südweststadt","2016",779,465,314
"Südweststadt","2017",747,455,292
"Südweststadt","2018",722,432,290
"Südweststadt","2019",698,405,293
"Südweststadt","2020",696,404,292
"Südweststadt","2021",687,395,292
"Weststadt","2007",924,570,354
"Weststadt","2008",921,565,356
"Weststadt","2009",853,532,321
"Weststadt","2010",871,543,328
"Weststadt","2011",851,534,317
"Weststadt","2012",826,525,301
"Weststadt","2013",825,526,299
"Weststadt","2014",817,527,290
"Weststadt","2015",832,519,313
"Weststadt","2016",852,519,333
"Weststadt","2017",844,504,340
"Weststadt","2018",816,499,317
"Weststadt","2019",794,474,320
"Weststadt","2020",797,472,325
"Weststadt","2021",803,488,315
"Nordweststadt","2007",425,291,134
"Nordweststadt","2008",428,293,135
"Nordweststadt","2009",441,303,138
"Nordweststadt","2010",425,309,116
"Nordweststadt","2011",417,312,105
"Nordweststadt","2012",437,314,123
"Nordweststadt","2013",451,312,139
"Nordweststadt","2014",452,304,148
"Nordweststadt","2015",482,313,169
"Nordweststadt","2016",485,317,168
"Nordweststadt","2017",492,314,178
"Nordweststadt","2018",494,307,187
"Nordweststadt","2019",481,285,196
"Nordweststadt","2020",476,281,195
"Nordweststadt","2021",538,314,224
"Oststadt","2007",896,453,443
"Oststadt","2008",866,455,411
"Oststadt","2009",816,431,385
"Oststadt","2010",878,425,453
"Oststadt","2011",845,420,425
"Oststadt","2012",936,396,540
"Oststadt","2013",1166,388,778
"Oststadt","2014",2398,390,2008
"Oststadt","2015",3553,381,3172
"Oststadt","2016",1407,373,1034
"Oststadt","2017",1148,364,784
"Oststadt","2018",720,342,378
"Oststadt","2019",695,337,358
"Oststadt","2020",622,318,304
"Oststadt","2021",657,324,333
"Mühlburg","2007",860,522,338
"Mühlburg","2008",840,531,309
"Mühlburg","2009",819,516,303
"Mühlburg","2010",822,540,282
"Mühlburg","2011",801,539,262
"Mühlburg","2012",790,531,259
"Mühlburg","2013",809,537,272
"Mühlburg","2014",872,557,315
"Mühlburg","2015",981,556,425
"Mühlburg","2016",992,556,436
"Mühlburg","2017",929,528,401
"Mühlburg","2018",983,511,472
"Mühlburg","2019",916,485,431
"Mühlburg","2020",883,464,419
"Mühlburg","2021",908,451,457
"Daxlanden","2007",410,282,128
"Daxlanden","2008",421,297,124
"Daxlanden","2009",422,300,122
"Daxlanden","2010",421,309,112
"Daxlanden","2011",411,298,113
"Daxlanden","2012",408,305,103
"Daxlanden","2013",403,310,93
