"Stadtteil","Jahr","Personen","Deutsche mit Migrationshintergrund","Ausländer/-innen"
"Innenstadt-Ost","2007",2476,825,1651
"Innenstadt-Ost","2008",2560,874,1686
"Innenstadt-Ost","2009",2554,906,1648
"Innenstadt-Ost","2010",2626,933,1693
"Innenstadt-Ost","2011",2728,929,1799
"Innenstadt-Ost","2012",2868,926,1942
"Innenstadt-Ost","2013",3010,936,2074
"Innenstadt-Ost","2014",3146,936,2210
"Innenstadt-Ost","2015",3168,950,2218
"Innenstadt-Ost","2016",3123,970,2153
"Innenstadt-Ost","2017",3156,944,2212
"Innenstadt-Ost","2018",3203,947,2256
"Innenstadt-Ost","2019",3211,941,2270
"Innenstadt-Ost","2020",3092,925,2167
"Innenstadt-Ost","2021",3061,908,2153
"Innenstadt-West","2007",2934,608,2326
"Innenstadt-West","2008",2885,625,2260
"Innenstadt-West","2009",2942,697,2245
"Innenstadt-West","2010",3055,708,2347
"Innenstadt-West","2011",3210,762,2448
"Innenstadt-West","2012",3348,747,2601
"Innenstadt-West","2013",3530,770,2760
"Innenstadt-West","2014",3601,755,2846
"Innenstadt-West","2015",3691,787,2904
"Innenstadt-West","2016",3825,831,2994
"Innenstadt-West","2017",3863,839,3024
"Innenstadt-West","2018",3935,863,3072
"Innenstadt-West","2019",3846,882,2964
"Innenstadt-West","2020",3497,910,2587
"Innenstadt-West","2021",3538,958,2580
"Südstadt","2007",5751,1593,4158
"Südstadt","2008",5717,1676,4041
"Südstadt","2009",5778,1719,4059
"Südstadt","2010",6050,1779,4271
"Südstadt","2011",6191,1818,4373
"Südstadt","2012",6526,1913,4613
"Südstadt","2013",6835,1960,4875
"Südstadt","2014",7138,2005,5133
"Südstadt","2015",7290,2087,5203
"Südstadt","2016",7569,2148,5421
"Südstadt","2017",7708,2241,5467
"Südstadt","2018",7774,2268,5506
"Südstadt","2019",7629,2289,5340
"Südstadt","2020",7376,2293,5083
"Südstadt","2021",7332,2348,4984
"Südweststadt","2007",4212,1527,2685
"Südweststadt","2008",4228,1542,2686
"Südweststadt","2009",4224,1562,2662
"Südweststadt","2010",4442,1631,2811
"Südweststadt","2011",4529,1668,2861
"Südweststadt","2012",4653,1700,2953
"Südweststadt","2013",4956,1744,3212
"Südweststadt","2014",5170,1802,3368
"Südweststadt","2015",5248,1816,3432
"Südweststadt","2016",5410,1846,3564
"Südweststadt","2017",5538,1910,3628
"Südweststadt","2018",5640,1933,3707
"Südweststadt","2019",5631,1970,3661
"Südweststadt","2020",5759,2028,3731
"Südweststadt","2021",5722,2036,3686
"Weststadt","2007",5100,1627,3473
"Weststadt","2008",5162,1668,3494
"Weststadt","2009",5081,1676,3405
"Weststadt","2010",5246,1742,3504
"Weststadt","2011",5474,1728,3746
"Weststadt","2012",5519,1747,3772
"Weststadt","2013",5631,1789,3842
"Weststadt","2014",5849,1813,4036
"Weststadt","2015",5960,1839,4121
"Weststadt","2016",6169,1898,4271
