"Stadtteil","Jahr","Realschule %"
"Innenstadt-Ost","2010",23.5
"Innenstadt-Ost","2011",21.6
"Innenstadt-Ost","2012",19.1
"Innenstadt-Ost","2013",20.0
"Innenstadt-Ost","2014",11.9
"Innenstadt-Ost","2015",21.7
"Innenstadt-Ost","2016",18.2
"Innenstadt-Ost","2017",27.3
"Innenstadt-Ost","2018",29.2
"Innenstadt-Ost","2019",25.5
"Innenstadt-Ost","2020",28.6
"Innenstadt-Ost","2021",29.3
"Innenstadt-West","2010",27.3
"Innenstadt-West","2011",27.4
"Innenstadt-West","2012",29.8
"Innenstadt-West","2013",28.4
"Innenstadt-West","2014",29.5
"Innenstadt-West","2015",33.3
"Innenstadt-West","2016",27.5
"Innenstadt-West","2017",22.4
"Innenstadt-West","2018",18.4
"Innenstadt-West","2019",24.6
"Innenstadt-West","2020",22.9
"Innenstadt-West","2021",22.0
"Südstadt","2010",31.5
"Südstadt","2011",30.2
"Südstadt","2012",39.3
"Südstadt","2013",46.4
"Südstadt","2014",36.2
"Südstadt","2015",32.8
"Südstadt","2016",20.8
"Südstadt","2017",28.9
"Südstadt","2018",44.3
"Südstadt","2019",22.5
"Südstadt","2020",38.8
"Südstadt","2021",27.4
"Südweststadt","2010",19.7
"Südweststadt","2011",19.5
"Südweststadt","2012",10.4
"Südweststadt","2013",15.6
"Südweststadt","2014",17.9
"Südweststadt","2015",17.0
"Südweststadt","2016",11.7
"Südweststadt","2017",13.1
"Südweststadt","2018",18.2
"Südweststadt","2019",14.2
"Südweststadt","2020",12.4
"Südweststadt","2021",10.8
"Weststadt","2010",21.2
"Weststadt","2011",24.1
"Weststadt","2012",29.4
"Weststadt","2013",14.3
"Weststadt","2014",7.3
"Weststadt","2015",12.2
"Weststadt","2016",10.3
"Weststadt","2017",18.5
"Weststadt","2018",11.6
"Weststadt","2019",16.2
"Weststadt","2020",11.9
"Weststadt","2021",15.4
"Nordweststadt","2010",23.7
"Nordweststadt","2011",24.6
"Nordweststadt","2012",28.7
"Nordweststadt","2013",18.4
"Nordweststadt","2014",20.2
"Nordweststadt","2015",25.3
"Nordweststadt","2016",24.2
"Nordweststadt","2017",24.7
"Nordweststadt","2018",30.5
"Nordweststadt","2019",16.0
"Nordweststadt","2020",22.1
"Nordweststadt","2021",27.0
"Oststadt","2010",21.1
"Oststadt","2011",21.1
"Oststadt","2012",21.4
"Oststadt","2013",33.9
"Oststadt","2014",33.8
"Oststadt","2015",35.1
"Oststadt","2016",29.1
"Oststadt","2017",19.4
"Oststadt","2018",32.4
"Oststadt","2019",31.8
"Oststadt","2020",30.0
"Oststadt","2021",30.4
"Mühlburg","2010",30.3
"Mühlburg","2011",26.4
"Mühlburg","2012",34.3
"Mühlburg","2013",15.6
"Mühlburg","2014",20.2
"Mühlburg","2015",28.2
"Mühlburg","2016",12.9
"Mühlburg","2017",23.7
"Mühlburg","2018",22.1
"Mühlburg","2019",34.9
"Mühlburg","2020",28.8
"Mühlburg","2021",37.5
"Daxlanden","2010",39.1
"Daxlanden","2011",41.8
"Daxlanden","2012",32.0
"Daxlanden","2013",20.7
"Daxlanden","2014",38.3
"Daxlanden","2015",36.6
"Daxlanden","2016",34.5
"Daxlanden","2017",38.2
"Daxlanden","2018",32.5
"Daxlanden","2019",32.5
"Daxlanden","2020",22.5
"Daxlanden","2021",26.2
"Knielingen","2010",31.4
"Knielingen","2011",17.2
"Knielingen","2012",28.6
"Knielingen","2013",29.9
"Knielingen","2014",22.2
"Knielingen","2015",22.0
"Knielingen","2016",20.3
"Knielingen","2017",24.6
"Knielingen","2018",15.9
"Knielingen","2019",32.3
"Knielingen","2020",28.0
"Knielingen","2021",31.2
"Grünwinkel","2010",23.3
"Grünwinkel","2011",27.9
"Grünwinkel","2012",42.1
"Grünwinkel","2013",20.9
"Grünwinkel","2014",18.2
"Grünwinkel","2015",36.9
"Grünwinkel","2016",37.8
"Grünwinkel","2017",40.6
"Grünwinkel","2018",30.5
"Grünwinkel","2019",23.3
"Grünwinkel","2020",35.0
"Grünwinkel","2021",40.0
"Oberreut","2010",29.7
"Oberreut","2011",27.7
"Oberreut","2012",29.9
"Oberreut","2013",36.5
"Oberreut","2014",29.2
"Oberreut","2015",27.5
"Oberreut","2016",31.0
"Oberreut","2017",34.1
"Oberreut","2018",37.3
"Oberreut","2019",40.7
